District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Dramaga,Kabupaten Bogor,-6.577668999999999,106.7319218,464000000.0,72.0,36.0,1.0,2.0,1.0,1.0
Dramaga,Kabupaten Bogor,-6.577668999999999,106.7319218,369000000.0,60.0,30.0,1.0,2.0,1.0,1.0
Dramaga,Kabupaten Bogor,-6.577668999999999,106.7319218,400000000.0,60.0,60.0,1.0,3.0,1.0,1.0
Tajur Halang,Kabupaten Bogor,-6.4551607,106.7501884,475000000.0,70.0,55.0,2.0,3.0,2.0,1.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
 Tajur Halang,Kabupaten Bogor,-6.473501499999999,106.7711638,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,355000000.0,50.0,36.0,1.0,2.0,1.0,1.0
Gunung Sindur,Kabupaten Bogor,-6.3847562,106.6804186,400000000.0,66.0,40.0,1.0,2.0,1.0,1.0
Bogor Tengah,Kota Bogor,-6.5930142,106.7864809,750000000.0,60.0,60.0,2.0,3.0,2.0,2.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,699000007.0,90.0,60.0,1.0,2.0,1.0,1.0
 Gunung Putri,Kabupaten Bogor,-6.4161173,106.9076234,1485100000.0,78.0,69.0,2.0,3.0,2.0,2.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,679600000.0,80.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,679600000.0,80.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,905000000.0,64.0,91.0,2.0,3.0,2.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,679600000.0,80.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,679600000.0,80.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,780300000.0,93.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,780300000.0,93.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,780300000.0,93.0,36.0,1.0,2.0,1.0,0.0
 Cibinong,Kabupaten Bogor,-6.4587713,106.8181696,780300000.0,93.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,679600000.0,80.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
Jonggol,Kabupaten Bogor,-6.4597469,107.0422961,250000000.0,72.0,72.0,1.0,3.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
 Tajur Halang,Kabupaten Bogor,-6.473501499999999,106.7711638,583190000.0,70.0,36.0,1.0,2.0,1.0,0.0
 Babakan Madang,Kabupaten Bogor,-6.5211331,106.8502879,908000000.0,64.0,91.0,2.0,3.0,2.0,1.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Bogor Selatan,Kota Bogor,-6.6323703,106.8075977,600000000.0,78.0,72.0,1.0,3.0,2.0,1.0
Tajur Halang,Kabupaten Bogor,-6.4551607,106.7501884,383000000.0,72.0,36.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,780300000.0,93.0,36.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,780300000.0,93.0,36.0,1.0,2.0,1.0,1.0
Bogor Timur,Kota Bogor,-6.617944400000001,106.820343,905000000.0,64.0,91.0,2.0,3.0,2.0,1.0
 Cibinong,Kabupaten Bogor,-6.5198749,106.8119382,905000000.0,64.0,91.0,2.0,3.0,2.0,1.0
Parung Panjang,Kabupaten Bogor,-6.3681068,106.5533873,185000000.0,60.0,28.0,1.0,2.0,1.0,1.0
Parung Panjang,Kabupaten Bogor,-6.3681068,106.5533873,185000000.0,60.0,28.0,1.0,2.0,1.0,1.0
Parung Panjang,Kabupaten Bogor,-6.3681068,106.5533873,185000000.0,60.0,28.0,1.0,2.0,1.0,1.0
Parung Panjang,Kabupaten Bogor,-6.3681068,106.5533873,185000000.0,60.0,28.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,783191000.0,60.0,65.0,2.0,2.0,2.0,0.0
Parung Panjang,Kabupaten Bogor,-6.3681068,106.5533873,954520000.0,68.0,62.0,2.0,3.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,783191000.0,60.0,64.0,2.0,2.0,2.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,783191000.0,60.0,65.0,2.0,2.0,2.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,783191000.0,60.0,65.0,2.0,2.0,2.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,783191000.0,60.0,65.0,2.0,2.0,2.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,783191000.0,60.0,65.0,2.0,2.0,2.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,783191000.0,60.0,65.0,2.0,2.0,2.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
 Bogor Timur,Kota Bogor,-6.6096958,106.8148879,550000000.0,132.0,45.0,1.0,2.0,1.0,4.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,672811080.0,105.0,36.0,1.0,2.0,1.0,0.0
Cisarua,Kabupaten Bogor,-6.679948899999999,106.9322873,900000000.0,360.0,50.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
