Floors,Bedrooms,Bathrooms,Building_Size_M2,Land_Size_M2,Latitude,Longitude,Price,District,City,Carport/Garage
2.0,5.0,5.0,1000.0,920.0,-6.270367,106.811741,17500000000.0,Cipete,Jakarta Selatan,2.0
2.0,5.0,4.0,900.0,1285.0,-6.2456989371893,106.80892815857,159000000000.0,Kebayoran Baru,Jakarta Selatan,5.0
2.0,5.0,4.0,1400.0,1083.0,-6.15808,106.91815,33900000000.0,Kelapa Gading,Jakarta Utara,2.0
2.0,5.0,4.0,600.0,442.0,-6.2754,106.78206,16500000000.0,Pondok Indah,Jakarta Selatan,3.0
2.0,5.0,4.0,889.0,774.0,-6.266904,106.823931,14700000000.0,Kemang,Jakarta Selatan,2.0
2.0,3.0,3.0,140.0,105.0,-6.1730885,106.7311963,2690000000.0,Metland Puri,Jakarta Barat,2.0
5.0,23.0,23.0,402.0,73.0,-6.1868333,106.8665002,8500000000.0,Cempaka Putih,Jakarta Pusat,5.0
2.0,2.0,2.0,134.0,113.0,-6.3139,106.83608,2650000000.0,Kebagusan,Jakarta Selatan,1.0
3.0,4.0,3.0,200.0,135.0,-6.1852561,106.703769,3800000000.0,Green Lake City,Jakarta Barat,2.0
2.0,3.0,3.0,150.0,120.0,-6.1852561,106.703769,3190000000.0,Green Lake City,Jakarta Barat,2.0
2.0,2.0,2.0,87.0,60.0,-6.1852561,106.703769,1590000000.0,Green Lake City,Jakarta Barat,1.0
2.0,4.0,4.0,215.0,100.0,-6.161308699999999,106.9049822,3570000000.0,Kelapa Gading,Jakarta Utara,2.0
3.0,3.0,3.0,70.0,45.0,-6.1026441,106.7411622,1600000000.0,Pantai Indah Kapuk,Jakarta Utara,1.0
2.0,3.0,3.0,146.0,120.0,-6.1026441,106.7411622,3500000000.0,Pantai Indah Kapuk 2,Jakarta Utara,2.0
2.0,4.0,3.0,360.0,230.0,-6.1026441,106.7411622,8600000000.0,Pantai Indah Kapuk,Jakarta Utara,0.0
2.0,2.0,2.0,69.0,102.0,-6.184889793395996,106.94493103027344,1890000000.0,Cakung,Jakarta Timur,2.0
1.0,2.0,2.0,40.0,90.0,-6.2365273,106.751266,1620000000.0,Pesanggrahan,Jakarta Selatan,0.0
2.0,4.0,3.0,123.0,108.0,-6.1568457,106.7038324,2490000000.0,Kalideres,Jakarta Barat,1.0
2.0,3.0,3.0,300.0,340.0,-6.2777834,106.8114224,12500000000.0,Kemang,Jakarta Selatan,1.0
4.0,4.0,3.0,500.0,250.0,-6.25295,106.80827,20000000000.0,Prapanca,Jakarta Selatan,4.0
2.0,4.0,4.0,210.0,200.0,-6.1970854,106.7382072,3000000000.0,Meruya,Jakarta Barat,0.0
2.0,3.0,2.0,103.0,53.0,-6.2018754,106.8688565,1620000000.0,Matraman,Jakarta Timur,2.0
2.0,3.0,2.0,70.0,60.0,-6.2365273,106.751266,1320000000.0,Pesanggrahan,Jakarta Selatan,1.0
3.0,4.0,4.0,207.0,103.0,-6.264140599999999,106.8370122,3500000000.0,Kalibata,Jakarta Selatan,1.0
2.0,6.0,5.0,440.0,328.0,-6.225840091705322,106.8568115234375,8900000000.0,Tebet,Jakarta Selatan,2.0
1.0,4.0,4.0,500.0,200.0,-6.158989906311035,106.7933120727539,5000000000.0,Jelambar,Jakarta Barat,2.0
2.0,3.0,3.0,165.0,125.0,-6.1970854,106.7382072,2250000000.0,Meruya,Jakarta Barat,3.0
2.0,3.0,3.0,240.0,200.0,-6.1813377,106.7271337,6700000000.0,Puri Mansion,Jakarta Barat,4.0
2.0,3.0,3.0,130.0,105.0,-6.1730885,106.7311963,2700000000.0,Metland Puri,Jakarta Barat,1.0
2.0,6.0,4.0,600.0,1000.0,-6.31254,106.80421,22000000000.0,Lebak Bulus,Jakarta Selatan,2.0
2.0,2.0,2.0,55.0,41.0,-6.322277,106.8576636,763000000.0,Cijantung,Jakarta Timur,1.0
2.0,2.0,2.0,41.0,21.0,-6.15458,106.83027,520000000.0,Tamansari,Jakarta Barat,0.0
2.0,5.0,6.0,510.0,515.0,-6.266904,106.823931,29000000000.0,Kemang,Jakarta Selatan,2.0
2.0,3.0,3.0,103.0,53.0,-6.20435,106.8699,1650000000.0,Matraman,Jakarta Timur,0.0
2.0,3.0,3.0,160.0,120.0,-6.1369874,106.7217943,2800000000.0,Taman Palem,Jakarta Barat,2.0
2.0,3.0,4.0,420.0,310.0,-6.2365997,106.7805858,8700000000.0,Kebayoran Lama,Jakarta Selatan,0.0
3.0,3.0,3.0,180.0,65.0,-6.253203,106.826959,4500000000.0,Mampang Prapatan,Jakarta Selatan,1.0
1.0,3.0,1.0,120.0,150.0,-6.313899993896484,106.8360824584961,2500000000.0,Kebagusan,Jakarta Selatan,2.0
2.0,5.0,4.0,420.0,235.0,-6.332799911499023,106.831298828125,7990000000.0,Jagakarsa,Jakarta Selatan,2.0
2.0,3.0,2.0,250.0,162.0,-6.2250138,106.9004472,2200000000.0,Legenda Wisata,Jakarta Timur,2.0
2.0,3.0,3.0,103.0,53.0,-6.2284425,106.8851503,1620000000.0,Jatinegara,Jakarta Timur,2.0
4.0,6.0,4.0,900.0,374.0,-6.209681199999999,106.7256623,8500000000.0,Villa Meruya,Jakarta Barat,4.0
3.0,5.0,5.0,1000.0,432.0,-6.12912,106.83335,16000000000.0,Ancol,Jakarta Utara,4.0
1.0,3.0,4.0,160.0,216.0,-6.207429299999999,106.8915948,3500000000.0,Cipinang,Jakarta Timur,0.0
1.0,4.0,2.0,100.0,100.0,-6.1649271,106.7057733,1900000000.0,Semanan,Jakarta Barat,2.0
1.0,2.0,2.0,110.0,154.0,-6.26593,106.82502,3900000000.0,Bangka,Jakarta Selatan,1.0
2.0,7.0,4.0,400.0,633.0,-6.2554837,106.8429756,19000000000.0,Pancoran,Jakarta Selatan,3.0
1.0,1.0,1.0,90.0,90.0,-6.1382799,106.8665166,950000000.0,Tanjung Priok,Jakarta Utara,0.0
2.0,3.0,3.0,69.0,48.0,-6.1659184,106.876789,1600000000.0,Cempaka Mas,Jakarta Pusat,1.0
2.0,4.0,3.0,185.0,120.0,-6.3058935,106.8502879,4350000000.0,Tanjung Barat,Jakarta Selatan,2.0
2.0,4.0,4.0,269.0,180.0,-6.2720306,106.7471592,4800000000.0,Sektor 3 - Bintaro,Jakarta Selatan,2.0
3.0,6.0,4.0,883.0,300.0,-6.1585,106.747,8500000000.0,Tanjung Duren Selatan,Jakarta Barat,2.0
2.0,2.0,2.0,70.0,48.0,-6.3377275,106.8547133,850000000.0,Kalisari,Jakarta Timur,0.0
2.0,3.0,2.0,85.0,58.0,-6.322277,106.8576636,955000000.0,Cijantung,Jakarta Timur,1.0
3.0,3.0,2.0,400.0,250.0,-6.1585001945495605,106.74700164794922,4800000000.0,Kav DKI,Jakarta Barat,0.0
2.0,4.0,4.0,314.0,311.0,-6.2836594,106.819175,11000000000.0,Ampera,Jakarta Selatan,2.0
2.0,6.0,6.0,2500.0,1050.0,-6.2307155,106.8256054,88000000000.0,Mega Kuningan,Jakarta Selatan,6.0
3.0,2.0,3.0,71.0,24.0,-6.1830538,106.8561884,959000000.0,Johar Baru,Jakarta Pusat,1.0
2.0,4.0,3.0,190.0,96.0,-6.2219946,106.7530653,2750000000.0,Alfa Indah,Jakarta Barat,2.0
2.0,4.0,4.0,510.0,330.0,-6.14519,106.79915,8500000000.0,Angke,Jakarta Barat,0.0
