District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Kelapa Dua,Tangerang,-6.234411199999999,106.6306487,3550000000.0,300.0,175.0,2.0,3.0,2.0,0.0
Periuk,Tangerang,-6.169601399999999,106.6008985,365000000.0,60.0,110.0,1.0,2.0,1.0,0.0
Kelapa Dua,Tangerang,-6.1878658,106.6505218,1500000000.0,117.0,93.0,2.0,4.0,3.0,1.0
Kelapa Dua,Tangerang,-6.1580931,106.6664736,1100000000.0,58.0,46.0,2.0,3.0,2.0,1.0
Pinang,Tangerang,-6.2237885,106.6605396,9500000000.0,480.0,500.0,2.0,6.0,5.0,0.0
Pinang,Tangerang,-6.2237885,106.6605396,13000000000.0,340.0,500.0,3.0,6.0,6.0,0.0
Kelapa Dua,Tangerang,-6.243365,106.6288533,3450000000.0,200.0,240.0,1.0,5.0,4.0,1.0
Pagedangan,Tangerang,-6.293577099999999,106.6423214,2750000000.0,128.0,250.0,2.0,5.0,4.0,0.0
Kelapa Dua,Tangerang,-6.2542275,106.6293851,3800000000.0,208.0,193.0,2.0,5.0,4.0,0.0
Cikupa,Tangerang,-6.2181325,106.4970097,400000000.0,60.0,48.0,1.0,2.0,1.0,1.0
Kelapa Dua,Tangerang,-6.243365,106.6288533,2500000000.0,80.0,184.0,2.0,4.0,4.0,1.0
Pagedangan,Tangerang,-6.2710576,106.6241853,1700000000.0,90.0,70.0,2.0,2.0,2.0,1.0
Pagedangan,Tangerang,-6.2710576,106.6241853,1800000000.0,63.0,108.0,3.0,4.0,4.0,1.0
Pagedangan,Tangerang,-6.2710576,106.6241853,1400000000.0,63.0,79.0,2.0,3.0,2.0,1.0
Tangerang,Tangerang,-6.194308299999999,106.6357013,2200000000.0,160.0,136.0,2.0,4.0,3.0,0.0
Kelapa Dua,Tangerang,-6.243365,106.6288533,1900000000.0,80.0,105.0,3.0,4.0,4.0,0.0
Cikupa,Tangerang,-6.2181325,106.4970097,2980000000.0,239.0,560.0,4.0,5.0,4.0,1.0
Curug,Tangerang,-6.2540795,106.5609134,4000000000.0,300.0,255.0,2.0,5.0,4.0,0.0
Kelapa Dua,Tangerang,-6.243365,106.6288533,6500000000.0,375.0,244.0,2.0,4.0,3.0,0.0
Teluknaga,Tangerang,-6.0575109,106.6786874,1500000000.0,45.0,62.0,2.0,2.0,2.0,0.0
Cisauk,Tangerang,-6.3408595,106.6369178,400000000.0,70.0,45.0,1.0,2.0,1.0,1.0
Cisauk,Tangerang,-6.3408595,106.6369178,300000000.0,60.0,35.0,1.0,2.0,1.0,1.0
