District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Ciseeng,Bogor,-6.4416395,106.6952513,350000000.0,60.0,30.0,1.0,2.0,1.0,1.0
Cibinong,Bogor,-6.5198749,106.8119382,700000000.0,60.0,66.0,2.0,3.0,2.0,1.0
Leuwiliang,Bogor,-6.5741514,106.6320005,1100000000.0,132.0,270.0,2.0,4.0,3.0,2.0
Bojong Gede,Bogor,-6.4960615,106.7947017,970000000.0,151.0,120.0,1.0,3.0,2.0,2.0
Leuwiliang,Bogor,-6.5741514,106.6320005,1100000000.0,132.0,270.0,2.0,4.0,3.0,2.0
Bojong Gede,Bogor,-6.4960615,106.7947017,970000000.0,151.0,120.0,1.0,3.0,2.0,2.0
Cibinong,Bogor,-6.4901067,106.8306951,520000000.0,84.0,36.0,1.0,2.0,1.0,1.0
Cibinong,Bogor,-6.4901067,106.8306951,750000000.0,84.0,47.0,1.0,2.0,1.0,1.0
Cibinong,Bogor,-6.4901067,106.8306951,750000000.0,84.0,47.0,1.0,2.0,1.0,1.0
Bogor Selatan,Bogor,-6.6402182,106.8078394,900000000.0,108.0,134.0,2.0,4.0,3.0,1.0
Cibinong,Bogor,-6.4901067,106.8306951,520000000.0,84.0,36.0,1.0,2.0,1.0,1.0
Ciomas,Bogor,-6.6019425,106.7656825,1400000000.0,1700.0,100.0,2.0,2.0,1.0,2.0
Kemang,Bogor,-6.4857872,106.7362028,424980000.0,80.0,36.0,1.0,2.0,1.0,2.0
Kemang,Bogor,-6.4857872,106.7362028,424980000.0,80.0,36.0,1.0,2.0,1.0,2.0
Kemang,Bogor,-6.4857872,106.7362028,424980000.0,80.0,36.0,1.0,2.0,1.0,2.0
Bogor Barat,Bogor,-6.6096958,106.8148879,189250000.0,78.0,36.0,1.0,2.0,1.0,1.0
Sukaraja,Bogor,-6.5261691,106.8002889,700000000.0,72.0,50.0,2.0,2.0,1.0,1.0
Sukaraja,Bogor,-6.5261691,106.8002889,700000000.0,72.0,50.0,2.0,2.0,1.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,630000000.0,60.0,72.0,2.0,4.0,2.0,1.0
Sukaraja,Bogor,-6.6086866,106.8512819,325000000.0,72.0,72.0,1.0,2.0,1.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,499000000.0,48.0,60.0,2.0,2.0,2.0,1.0
Tajur Halang,Bogor,-6.4758182,106.7578498,390000000.0,69.0,33.0,1.0,2.0,1.0,1.0
Bogor Utara,Bogor,-6.529414699999999,106.7957153,1600000000.0,120.0,200.0,2.0,4.0,2.0,1.0
Bogor Barat,Bogor,-6.563991,106.7633625,1125000000.0,100.0,94.0,2.0,3.0,2.0,1.0
Kemang,Bogor,-6.4857872,106.7362028,181000000.0,60.0,22.0,1.0,1.0,1.0,1.0
Gunung Putri,Bogor,-6.4288646,106.9240554,1200000000.0,171.0,120.0,1.0,3.0,2.0,2.0
Ciomas,Bogor,-6.6019425,106.7656825,2500000000.0,530.0,150.0,1.0,5.0,3.0,3.0
Bogor Barat,Bogor,-6.563991,106.7633625,520000000.0,50.0,55.0,2.0,3.0,2.0,1.0
Leuwiliang,Bogor,-6.5669929,106.6304877,1300000000.0,132.0,270.0,2.0,4.0,3.0,2.0
Tenjo,Bogor,-6.3275839,106.4617439,750000000.0,893.0,132.0,1.0,4.0,1.0,2.0
Bogor Barat,Bogor,-6.563991,106.7633625,390000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,1298000000.0,90.0,83.0,2.0,3.0,2.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,1105670000.0,147.0,45.0,1.0,2.0,1.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,1104400000.0,147.0,45.0,1.0,2.0,1.0,1.0
Cijeruk,Bogor,-6.6814912,106.7970599,403300000.0,60.0,27.0,1.0,2.0,1.0,1.0
Cijeruk,Bogor,-6.6814912,106.7970599,403000000.0,60.0,27.0,1.0,2.0,1.0,1.0
Bogor Timur,Bogor,-6.617944400000001,106.820343,1056000000.0,147.0,36.0,1.0,2.0,1.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,1055000000.0,147.0,36.0,1.0,2.0,1.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,1105200000.0,147.0,45.0,1.0,2.0,1.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,1105880000.0,147.0,45.0,1.0,2.0,1.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,1105800000.0,147.0,45.0,1.0,2.0,1.0,1.0
Ciampea,Bogor,-6.5549421,106.6961626,500000000.0,86.0,45.0,1.0,2.0,1.0,1.0
Gunung Putri,Bogor,-6.4288646,106.9240554,2300000000.0,180.0,250.0,2.0,4.0,4.0,2.0
Bogor Timur,Bogor,-6.617944400000001,106.820343,1300000000.0,130.0,180.0,2.0,3.0,2.0,1.0
Bogor,Jawa Barat,-6.597146899999999,106.8060388,446012000.0,60.0,37.0,2.0,2.0,1.0,1.0
Ciseeng,Bogor,-6.4416395,106.6952513,290000000.0,66.0,32.0,1.0,2.0,1.0,1.0
Bogor,Jawa Barat,-6.597146899999999,106.8060388,282000000.0,66.0,32.0,1.0,2.0,1.0,1.0
Cibinong,Bogor,-6.4901067,106.8306951,561000000.0,43.0,75.0,2.0,3.0,2.0,1.0
Bojong Gede,Bogor,-6.4960615,106.7947017,600000000.0,76.0,50.0,1.0,2.0,1.0,1.0
Tanah Sereal,Bogor,-6.5701364,106.78768,2550000000.0,168.0,90.0,1.0,3.0,2.0,1.0
Dramaga,Bogor,-6.577668999999999,106.7319218,1000000000.0,282.0,200.0,1.0,4.0,3.0,0.0
Bogor Timur,Bogor,-6.617944400000001,106.820343,1590000000.0,72.0,73.0,2.0,2.0,2.0,1.0
Ciseeng,Bogor,-6.4416395,106.6952513,185000000.0,60.0,28.0,1.0,2.0,1.0,0.0
